Name,City Area,Price For Two,Ratings,Tags,Link
Zambeze,Mouraria,40.0,4.2,"Moçambicana, Portuguesa, Snacks",https://www.zomato.com/pt/grande-lisboa/zambeze-mouraria-lisboa/info
Darwin's,Belém,50.0,4.6,"Portuguesa, Italiana",https://www.zomato.com/pt/grande-lisboa/darwins-belém-lisboa/info
Este Oeste,Belém,50.0,4.1,"Sushi, Pizza, Italiana, Japonesa",https://www.zomato.com/pt/grande-lisboa/este-oeste-belém-lisboa/info
Nosolo Itália Belém,Belém,40.0,4.1,"Italiana, Pizza, Gelados, Sobremesa, Crepes",https://www.zomato.com/pt/nosoloitaliabelem/info
Pão Pão Queijo Queijo,Belém,20.0,4.4,"Fast food, Kebab, Snacks",https://www.zomato.com/pt/grande-lisboa/pão-pão-queijo-queijo-belém-lisboa/info
À Margem,Belém,30.0,4.1,"Petiscos, Comida saudável, Sumos, Tea",https://www.zomato.com/pt/grande-lisboa/à-margem-belém-lisboa/info
Espaço Espelho d'Água,Belém,45.0,3.9,"Fusão, Internacional, Petiscos",https://www.zomato.com/pt/espacoespelhodeagua/info
Nune's Real Marisqueira,Belém,70.0,4.4,Marisqueira,https://www.zomato.com/pt/grande-lisboa/nunes-real-marisqueira-belém-lisboa/info
Portugália Cervejaria Belém,Belém,35.0,4.1,"Marisqueira, Portuguesa",https://www.zomato.com/pt/grande-lisboa/portugália-cervejaria-belém-belém-lisboa/info
Feitoria Restaurante & Wine Bar - Altis Belém Hotel & Spa,Belém,25.0,4.5,"Autor, Contemporânea, Portuguesa",https://www.zomato.com/pt/grande-lisboa/feitoria-restaurante-wine-bar-altis-belém-hotel-spa-belém-lisboa/info
